name,intensity,bana,barl,cass,coco,coff,cott,grou,maiz,mill,ocer,oilp,opul,pige,pota,rape,rest,rice,sorg,soyb,sugb,sugc,sunf,temf,trof,vege,whea
Australia,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,I,0,0,0,0,0,0.564501079,0.568545836,0.506459321,0,0,0,0,0,0.501549524,0,0,1,0.717293455,0,0,0.74424659,0,0,0,0,0.494740474
Australia,L,1,6.5166E-12,1,1,1,0,4.22029E-10,3.03199E-09,0,3.89381E-09,1,1,1,1.55337E-09,6.34388E-11,1,0,0,2.96826E-09,0.673917564,0,2.23733E-09,1,1,1,8.52722E-12
Australia,H,0,1,0,0,0,0.435498921,0.431454164,0.493540676,1,0.999999996,0,0,0,0.498450474,1,0,0,0.282706545,0.999999997,0.326082436,0.25575341,0.999999998,0,0,0,0.505259526
Australian Capital Territory,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Capital Territory,L,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
Australian Capital Territory,H,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Australian Capital Territory,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,I,0,0,0,0,0,0.45030741,0,0.443609372,0,0,0,0,0,0.278524895,0,0,1,0.437147174,0,0,0,0,0,0,0,0.497603675
New South Wales,L,1,0,1,1,1,0,1.5507E-08,2.60345E-09,0,1.35993E-08,1,1,1,1.35559E-08,0,1,0,0,0,0.477629944,0,0,1,1,1,2.33171E-11
New South Wales,H,0,1,0,0,0,0.54969259,0.999999984,0.556390625,1,0.999999986,0,0,0,0.721475092,1,0,0,0.562852826,1,0.522370056,1,1,0,0,0,0.502396325
Northern Territory,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Territory,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Northern Territory,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Northern Territory,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,I,0,0,0,0,0,0.812383281,0.584451937,0.644883896,0,0,0,0,0,0.345825523,0,0,1,0.839233425,0,0,0.791056657,0,0,0,0,0.849875454
Queensland,L,1,1.02291E-10,1,1,1,0,0,0,0,0,1,1,1,0,2.49968E-06,1,0,0,9.00085E-09,0.685781535,0,0,1,1,1,0
Queensland,H,0,1,0,0,0,0.187616719,0.415548063,0.355116104,1,1,0,0,0,0.654174477,0.9999975,0,0,0.160766575,0.999999991,0.314218465,0.208943343,1,0,0,0,0.150124546
South Australia,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Australia,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548516237,0,0,1,0,0,0,0,0,0,0,0,0.634486011
South Australia,L,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0
South Australia,H,0,1,0,0,0,0,0,1,1,1,0,0,0,0.451483763,1,0,0,1,1,0,0,1,0,0,0,0.365513989
Tasmania,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62800316,0,0,1,0,0,0,0,0,0,0,0,0.611883178
Tasmania,L,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0
Tasmania,H,0,1,0,0,0,0,0,0,0,1,0,0,0,0.37199684,1,0,0,1,0,0,0,0,0,0,0,0.388116822
Victoria,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,I,0,0,0,0,0,0.003532058,0,0.632990572,0,0,0,0,0,0.543242112,0,0,1,0.000508525,0,0,0,0,0,0,0,0.54271936
Victoria,L,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0
Victoria,H,0,1,0,0,0,0.996467942,0,0.367009428,1,1,0,0,0,0.456757888,1,0,0,0.999491475,1,0,0,1,0,0,0,0.45728064
Western Australia,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Australia,I,0,0,0,0,0,0.001361241,0,0,0,0,0,0,0,0.342377284,0,0,1,0,0,0,0.2592313,0,0,0,0,0.332445259
Western Australia,L,1,0,1,1,1,0,1,9.68419E-08,0,0,1,1,1,0,0,1,0,0,1,0.660652395,0,6.62048E-06,1,1,1,0
Western Australia,H,0,1,0,0,0,0.998638759,0,0.999999903,1,1,0,0,0,0.657622716,1,0,0,1,0,0.339347605,0.7407687,0.99999338,0,0,0,0.667554741
