adm_name,adm_code,adm_level,ocer,ooil,opul,pota,rape,temf,vege,whea,barl,bean,chic,rice,orts,trof,cott,maiz,mill,sorg,soyb,sugc,sunf,bana,grou,lent,toba,cass,cnut,coco,coff,cowp,ofib,oilp,pige,plnt,rest,sesa,sugb,swpo,teas,yams
Australia,AU0,0,1039146.35,27282.322981000318,1612298.8905120604,44898.520000000004,1458731.2645068055,194041.34512373622,74906.27744751389,12129820.754813556,3451479.661497518,420711.45588625537,261111.23763972323,176055.42,1536.1915643397979,61433.0754398851,1168479.197658766,74120.31,29611.05,757508.9230008541,33262.44,1734483.6816251806,81960.79,13041.689999999999,17205.01,101242.18000000001,2312.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Capital Territory,AU8,1,78.00000000000001,5.862068965517242,-999,-999,500.00000000000006,81.80265935579153,-999,530,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
New South Wales,AU1,1,293969.29,10077.97480863377,116062.48766419051,7198.46,523339.7345068055,48110.7088436032,15788.374516769878,3670439.2748135547,615444.4014975182,102120.88588625535,124279.18763972323,174157.89,100.36156433979792,18006.625377389373,753232.567658766,26384.45,1403.66,258390.19999999998,20792.07,100166.43678503078,17451.68,2732.81,533.54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Northern Territory,AU7,1,-999,-999,-999,-999,-999,541.4,103.1,-999,-999,60.4,-999,60,-999,2793.0387912087913,-999,70,-999,340,20,-999,-999,250,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Queensland,AU3,1,13339.75,3136.587551724138,1704.73,5272.64,2661.83,11610.478301290477,23960.255122762814,884664.92,111717.06999999999,142804.2,71017.67,-999,1012.03,27589.933588509368,413439.45,46490.14,28163.45,494151.2,11622.4,1619489.4348401497,64174.85,9755.34,16521.47,-999,983.4100000000001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
South Australia,AU4,1,180240.25,5113.192689655172,213383.58284786987,9730.36,154194.63,68406.86911914956,5131.829131565097,1975282.09,1040663.47,79567.08,1101.49,-999,33.120000000000005,6731.236674603175,-999,-999,-999,-999,-999,-999,169.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tasmania,AU6,1,9513.24,185.57113793103449,9754.85,8276.03,303.4,2945.600072544672,3859.982219615158,6635.79,9668.130000000001,2890.55,-999,-999,20.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Victoria,AU2,1,265845.72,5887.694930987239,194049.56,12191.92,260514.46,43007.00160840111,20054.526456800933,1132743.75,691065.6,79244.34,7988.83,1837.53,346.96000000000004,3741.0378338886767,-999,826.73,43.94,2156.1330008541013,827.97,-999,164.51,-999,-999,101242.18000000001,1328.6100000000001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Western Australia,AU5,1,276160.1,2875.439793103448,1077343.68,2229.11,517217.20999999996,19337.484519391415,6008.21,4459524.93,982920.99,14024,56724.06,-999,23.130000000000003,2571.2031742857143,1807.18,348.99,-999,2471.39,-999,14827.81,-999,303.54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ACT - South West,AU801021027,2,7.0309852603330345,-999,-999,-999,-999,1.782856976727305,-999,7.533198493213965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
